series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
148,T_predictors,0,0,0.939341988
148,F_predictors,0,0,0.939341149
148,ALL_predictors,0,0,0.939341935
148,NO_predictors,0,0,0.939341973
149,T_predictors,0,0,0.688281794
149,F_predictors,0,0,0.398135854
149,ALL_predictors,0,0,0.73135158
149,NO_predictors,0,0,0.129536176
150,T_predictors,0,0,0.885337682
150,F_predictors,0,0,0.865725731
150,ALL_predictors,0,0,0.873729347
150,NO_predictors,0,0,0.720357312
151,T_predictors,0,0,0.877206692
151,F_predictors,0,0,0.830374409
151,ALL_predictors,0,0,0.877206698
151,NO_predictors,0,0,0.759658576
152,T_predictors,0,0,0.812289849
152,F_predictors,0,0,0.692131868
152,ALL_predictors,0,0,0.885186656
152,NO_predictors,0,0,0.424607068
153,T_predictors,1,1,0.917097543
153,F_predictors,0,1,0.904936128
153,ALL_predictors,1,1,0.917053633
153,NO_predictors,1,1,0.841926531
154,T_predictors,0,0,0.906581171
154,F_predictors,0,0,0.907369822
154,ALL_predictors,0,0,0.909281245
154,NO_predictors,0,0,0.617250483
155,T_predictors,0,0,0.916278618
155,F_predictors,0,0,0.916278559
155,ALL_predictors,0,0,0.916278555
155,NO_predictors,0,0,0.761399039
156,T_predictors,0,0,0.925293258
156,F_predictors,0,0,0.919665878
156,ALL_predictors,0,0,0.925302539
156,NO_predictors,0,0,0.855146955
157,T_predictors,0,0,0.922873883
157,F_predictors,0,0,0.925082846
157,ALL_predictors,0,0,0.92510261
157,NO_predictors,0,0,0.915686291
158,T_predictors,0,0,0.875401497
158,F_predictors,0,0,0.933873597
158,ALL_predictors,0,0,0.943084025
158,NO_predictors,0,0,0.879326398
159,T_predictors,0,0,0.780626909
159,F_predictors,0,0,0.72744719
159,ALL_predictors,0,0,0.780988289
159,NO_predictors,0,0,0.70592517
160,T_predictors,0,0,0.868012711
160,F_predictors,0,0,NA
160,ALL_predictors,0,0,0.867938205
160,NO_predictors,0,0,0.351587062
161,T_predictors,0,0,0.945881352
161,F_predictors,0,0,0.809693212
161,ALL_predictors,0,0,0.940161343
161,NO_predictors,0,0,0.863543708
162,T_predictors,1,1,0.965094798
162,F_predictors,0,1,0.957399113
162,ALL_predictors,0,1,0.969326637
162,NO_predictors,0,1,0.95935059
163,T_predictors,0,0,0.934416915
163,F_predictors,0,0,0.934416737
163,ALL_predictors,0,0,0.934416917
163,NO_predictors,0,0,0.92530368
164,T_predictors,0,0,0.512385814
164,F_predictors,0,0,0.509783701
164,ALL_predictors,0,0,0.524785559
