series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
82,"F_predictors",0,0,0.598251006655827
82,"ALL_predictors",0,0,NA
82,"NO_predictors",0,0,0.453831308827953
83,"T_predictors",0,0,0.729706665978691
83,"F_predictors",0,0,0.671034987602886
83,"ALL_predictors",0,0,0.732558205467262
83,"NO_predictors",0,0,0.633541961681118
84,"T_predictors",0,0,0.960462157960079
84,"F_predictors",0,0,0.964312106156176
84,"ALL_predictors",0,0,0.96430716676631
84,"NO_predictors",0,0,0.933731026197996
85,"T_predictors",0,0,0.91110872245102
85,"F_predictors",0,0,0.846575182878352
85,"ALL_predictors",0,0,0.911554892101897
85,"NO_predictors",0,0,0.809775132837297
86,"T_predictors",1,1,0.728877661942967
86,"F_predictors",1,1,0.737111272873272
86,"ALL_predictors",1,1,0.745410309745926
86,"NO_predictors",0,0,0.412643967945185
87,"T_predictors",0,0,0.94005897725478
87,"F_predictors",0,0,0.924693555276725
87,"ALL_predictors",0,0,0.937706174230391
87,"NO_predictors",0,0,0.924841154317588
88,"T_predictors",0,0,0.448443112239596
88,"F_predictors",0,0,0.175530350630699
88,"ALL_predictors",0,0,0.253449440565842
88,"NO_predictors",0,0,0.20741738731516
89,"T_predictors",0,0,0.954389059936316
89,"F_predictors",0,0,0.948393551480316
89,"ALL_predictors",0,0,0.954392232260085
89,"NO_predictors",0,1,0.94514795466356
90,"T_predictors",0,1,0.906068047421899
90,"F_predictors",0,1,0.627338495446824
90,"ALL_predictors",0,1,0.909580608129993
90,"NO_predictors",0,0,0.866649729425335
91,"T_predictors",0,0,0.919849340051955
91,"F_predictors",0,0,0.825354273978077
91,"ALL_predictors",0,0,0.922914538619876
91,"NO_predictors",0,0,0.760373976488417
92,"T_predictors",0,0,0.969133805781408
92,"F_predictors",0,0,NA
92,"ALL_predictors",0,0,0.969746493909997
92,"NO_predictors",0,1,0.960147012521513
93,"T_predictors",0,0,0.964715689693718
93,"F_predictors",1,1,0.950745699155924
93,"ALL_predictors",0,1,0.965350874548661
93,"NO_predictors",0,1,0.965262790210284
94,"T_predictors",0,0,0.90635501139092
94,"F_predictors",0,0,0.693449584805475
94,"ALL_predictors",0,0,0.901015905020129
94,"NO_predictors",0,0,0.536497168851869
95,"T_predictors",0,0,0.927869604601186
95,"F_predictors",0,0,0.921417302640737
95,"ALL_predictors",0,0,0.92786961185392
95,"NO_predictors",0,0,0.921417322317519
96,"T_predictors",0,1,0.991231444349108
96,"F_predictors",0,1,0.991115211778156
